PROJ.4.PROJECTION: "+proj=lcc +lat_2=50.569898649999999 +lat_1=50.569898649999999 +lon_0=4.553615160000000 +units=m +no_defs +a=6371229.0 +es=0.0"

PIXEL_ID LAMBERT_X LAMBERT_Y LAT LON
541 -67500 6333014.18 50.544 3.598
542 -62500 6333014.18 50.544 3.669
543 -57500 6333014.18 50.545 3.74
544 -52500 6333014.18 50.545 3.811
545 -47500 6333014.18 50.545 3.881
546 -42500 6333014.18 50.546 3.952
547 -37500 6333014.18 50.546 4.023
548 -32500 6333014.18 50.547 4.094
549 -27500 6333014.18 50.547 4.164
550 -22500 6333014.18 50.547 4.235
551 -17500 6333014.18 50.547 4.306
552 -12500 6333014.18 50.547 4.377
553 -7500 6333014.18 50.547 4.447
554 -2500 6333014.18 50.547 4.518
555 2500 6333014.18 50.547 4.589
556 7500 6333014.18 50.547 4.66
557 12500 6333014.18 50.547 4.731
558 17500 6333014.18 50.547 4.801
559 22500 6333014.18 50.547 4.872
560 27500 6333014.18 50.547 4.943
561 32500 6333014.18 50.547 5.014
562 37500 6333014.18 50.546 5.084
563 42500 6333014.18 50.546 5.155
564 47500 6333014.18 50.545 5.226
565 52500 6333014.18 50.545 5.297
566 57500 6333014.18 50.545 5.367
567 62500 6333014.18 50.544 5.438
568 67500 6333014.18 50.544 5.509
569 72500 6333014.18 50.543 5.58
570 77500 6333014.18 50.542 5.65
571 82500 6333014.18 50.542 5.721
572 87500 6333014.18 50.541 5.792
573 92500 6333014.18 50.54 5.863
574 97500 6333014.18 50.539 5.933
575 102500 6333014.18 50.538 6.004
576 107500 6333014.18 50.538 6.075
577 112500 6333014.18 50.537 6.145
578 117500 6333014.18 50.536 6.216
579 -92500 6338014.18 50.585 3.243
580 -87500 6338014.18 50.586 3.314
581 -82500 6338014.18 50.587 3.385
582 -77500 6338014.18 50.587 3.456
583 -72500 6338014.18 50.588 3.527
584 -67500 6338014.18 50.588 3.597
585 -62500 6338014.18 50.589 3.668
586 -57500 6338014.18 50.59 3.739
587 -52500 6338014.18 50.59 3.81
588 -47500 6338014.18 50.59 3.881
589 -42500 6338014.18 50.591 3.952
590 -37500 6338014.18 50.591 4.022
591 -32500 6338014.18 50.591 4.093
592 -27500 6338014.18 50.592 4.164
593 -22500 6338014.18 50.592 4.235
594 -17500 6338014.18 50.592 4.306
595 -12500 6338014.18 50.592 4.377
596 -7500 6338014.18 50.592 4.447
597 -2500 6338014.18 50.592 4.518
598 2500 6338014.18 50.592 4.589
599 7500 6338014.18 50.592 4.66
600 12500 6338014.18 50.592 4.731
601 17500 6338014.18 50.592 4.802
602 22500 6338014.18 50.592 4.872
603 27500 6338014.18 50.592 4.943
604 32500 6338014.18 50.591 5.014
605 37500 6338014.18 50.591 5.085
606 42500 6338014.18 50.591 5.156
607 47500 6338014.18 50.59 5.226
608 52500 6338014.18 50.59 5.297
609 57500 6338014.18 50.59 5.368
610 62500 6338014.18 50.589 5.439
611 67500 6338014.18 50.588 5.51
612 72500 6338014.18 50.588 5.581
613 77500 6338014.18 50.587 5.651
614 82500 6338014.18 50.587 5.722
615 87500 6338014.18 50.586 5.793
616 92500 6338014.18 50.585 5.864
617 97500 6338014.18 50.584 5.935
618 102500 6338014.18 50.583 6.005
619 107500 6338014.18 50.582 6.076
620 112500 6338014.18 50.582 6.147
621 117500 6338014.18 50.581 6.218
622 -92500 6343014.18 50.63 3.242
623 -87500 6343014.18 50.631 3.313
624 -82500 6343014.18 50.631 3.384
625 -77500 6343014.18 50.632 3.455
626 -72500 6343014.18 50.633 3.526
627 -67500 6343014.18 50.633 3.597
628 -62500 6343014.18 50.634 3.667
629 -57500 6343014.18 50.635 3.738
630 -52500 6343014.18 50.635 3.809
631 -47500 6343014.18 50.635 3.88
632 -42500 6343014.18 50.636 3.951
633 -37500 6343014.18 50.636 4.022
634 -32500 6343014.18 50.636 4.093
635 -27500 6343014.18 50.637 4.164
636 -22500 6343014.18 50.637 4.235
637 -17500 6343014.18 50.637 4.305
638 -12500 6343014.18 50.637 4.376
639 -7500 6343014.18 50.637 4.447
640 -2500 6343014.18 50.637 4.518
641 2500 6343014.18 50.637 4.589
642 7500 6343014.18 50.637 4.66
643 12500 6343014.18 50.637 4.731
644 17500 6343014.18 50.637 4.802
645 22500 6343014.18 50.637 4.873
646 27500 6343014.18 50.637 4.944
647 32500 6343014.18 50.636 5.014
648 37500 6343014.18 50.636 5.085
649 42500 6343014.18 50.636 5.156
650 47500 6343014.18 50.635 5.227
651 52500 6343014.18 50.635 5.298
652 57500 6343014.18 50.635 5.369
653 62500 6343014.18 50.634 5.44
654 67500 6343014.18 50.633 5.511
655 72500 6343014.18 50.633 5.582
656 77500 6343014.18 50.632 5.652
657 82500 6343014.18 50.631 5.723
658 87500 6343014.18 50.631 5.794
659 92500 6343014.18 50.63 5.865
660 97500 6343014.18 50.629 5.936
661 102500 6343014.18 50.628 6.007
662 107500 6343014.18 50.627 6.078
663 112500 6343014.18 50.626 6.149
664 117500 6343014.18 50.625 6.219
665 122500 6343014.18 50.624 6.29
666 -117500 6348014.18 50.67 2.886
667 -92500 6348014.18 50.675 3.241
668 -87500 6348014.18 50.676 3.312
669 -82500 6348014.18 50.676 3.383
670 -77500 6348014.18 50.677 3.454
671 -72500 6348014.18 50.678 3.525
672 -67500 6348014.18 50.678 3.596
673 -62500 6348014.18 50.679 3.667
674 -57500 6348014.18 50.679 3.738
675 -52500 6348014.18 50.68 3.809
676 -47500 6348014.18 50.68 3.879
677 -42500 6348014.18 50.681 3.95
678 -37500 6348014.18 50.681 4.021
679 -32500 6348014.18 50.681 4.092
680 -27500 6348014.18 50.682 4.163
681 -22500 6348014.18 50.682 4.234
682 -17500 6348014.18 50.682 4.305
683 -12500 6348014.18 50.682 4.376
684 -7500 6348014.18 50.682 4.447
685 -2500 6348014.18 50.682 4.518
686 2500 6348014.18 50.682 4.589
687 7500 6348014.18 50.682 4.66
688 12500 6348014.18 50.682 4.731
